feature,importance
jobType_JANITOR,0.2182849026792504
yearsExperience,0.18671955106767502
milesFromMetropolis,0.12977144934595455
major_NONE,0.08562541642549382
jobType_JUNIOR,0.07476353234819393
jobType_CEO,0.04849364507500882
jobType_SENIOR,0.040218987146969316
industry_FINANCE,0.02897898740675115
industry_EDUCATION,0.028568660279792952
industry_OIL,0.025233876602158905
jobType_CFO,0.023344968783592514
jobType_CTO,0.02059375976191429
industry_SERVICE,0.01582796570966328
degree_DOCTORAL,0.014033476048644628
industry_WEB,0.009881523233222257
jobType_MANAGER,0.009699584040316102
degree_NONE,0.006496642485358789
major_ENGINEERING,0.005839066730503699
industry_AUTO,0.005362875473310333
degree_MASTERS,0.00433833130393742
major_BUSINESS,0.0042475754820989284
jobType_VICE_PRESIDENT,0.004209120068109669
industry_HEALTH,0.002649749175946009
major_LITERATURE,0.002301225397469828
major_MATH,0.0013213383266465523
degree_HIGH_SCHOOL,0.0009570140082932513
major_BIOLOGY,0.0006751410426657488
major_CHEMISTRY,0.0006698854436019425
major_PHYSICS,0.0003286640210987626
degree_BACHELORS,0.00028502383610788694
major_COMPSCI,7.292759024286763e-05
companyId_COMP36,8.977280393972891e-06
companyId_COMP13,8.28642735517678e-06
companyId_COMP46,7.843429659289298e-06
companyId_COMP9,7.501134878223636e-06
companyId_COMP24,6.001546903613935e-06
companyId_COMP34,5.9545506013480445e-06
companyId_COMP56,5.771410764504905e-06
companyId_COMP30,5.568066502866462e-06
companyId_COMP62,5.387795533235257e-06
companyId_COMP21,5.295029977115656e-06
companyId_COMP26,5.050009762925762e-06
companyId_COMP61,4.966779130366264e-06
companyId_COMP60,4.8928526788045024e-06
companyId_COMP42,4.858598042717759e-06
companyId_COMP48,4.794071646403536e-06
companyId_COMP38,4.679292100302767e-06
companyId_COMP44,4.670910466624293e-06
companyId_COMP15,4.3294183249627965e-06
companyId_COMP20,4.326807134766534e-06
companyId_COMP17,4.144081974214683e-06
companyId_COMP53,4.067539531985222e-06
companyId_COMP1,4.0249820912618195e-06
companyId_COMP12,3.828480168621153e-06
companyId_COMP47,3.5938868154240714e-06
companyId_COMP57,3.5864052334784524e-06
companyId_COMP10,3.480895782894105e-06
companyId_COMP11,3.2993357289972728e-06
companyId_COMP55,3.2151999606834772e-06
companyId_COMP31,3.1947681286064962e-06
companyId_COMP28,3.1940106735684132e-06
companyId_COMP4,3.1415427410207792e-06
companyId_COMP2,3.093236256834861e-06
companyId_COMP18,2.9809125284159493e-06
companyId_COMP6,2.7499508687262206e-06
companyId_COMP59,2.7040592735212324e-06
companyId_COMP52,2.664070581193919e-06
companyId_COMP58,2.630701828690199e-06
companyId_COMP32,2.5786129499028613e-06
companyId_COMP16,2.5407137705393464e-06
companyId_COMP22,2.3570084497081014e-06
companyId_COMP33,2.311830055802336e-06
companyId_COMP39,2.141111323512332e-06
companyId_COMP27,2.01442978667232e-06
companyId_COMP23,2.0140882757483424e-06
companyId_COMP19,1.9740685569640143e-06
companyId_COMP35,1.9005248500361226e-06
companyId_COMP49,1.7962437995367574e-06
companyId_COMP54,1.7617804415256277e-06
companyId_COMP14,1.725038933387941e-06
companyId_COMP8,1.6336569170132106e-06
companyId_COMP41,1.2719521116736926e-06
companyId_COMP43,1.142589130933242e-06
companyId_COMP37,1.046826064587506e-06
companyId_COMP29,1.0410534259414496e-06
companyId_COMP5,1.0401018861627818e-06
companyId_COMP45,1.0320739985252036e-06
companyId_COMP51,9.32754948571547e-07
companyId_COMP50,8.156325965151412e-07
companyId_COMP3,7.458053769312749e-07
companyId_COMP40,3.734088867323259e-07
companyId_COMP7,1.9288144404464466e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
